Okrug,Broj učenika,Broj devojčica,Broj odeljenja,Broj nastavnika - bez zamena,Ukupna norma nastavnikaa - bez zamena,Broj skola,Područje rada,Obrazovni profil,Ukupno gimnazijalaca
Borski upravni okrug,3281,1542,140,432,290.978,10,9,52,770
Braničevski upravni okrug,4953,2452,196,525,393.9538,10,9,52,1137
Grad Beograd,57359,28604,2096,5236,4534.7198,72,16,206,18862
Jablanički upravni okrug,7677,3749,311,994,667.1526000000001,17,15,77,1389
Južnobanatski upravni okrug,8848,4281,341,970,748.8520000000001,17,12,76,1828
Južnobački upravni okrug,22094,11008,850,2336,1840.5563,28,14,132,6343
Kolubarski upravni okrug,5512,2804,208,599,443.0885,10,10,64,997
Kosovski upravni okrug,1541,709,115,460,291.9788,8,9,32,251
Kosovsko-mitrovački upravni okrug,2267,1061,154,527,374.64119999999997,12,12,37,532
Kosovsko-pomoravski upravni okrug,969,508,93,427,220.81099999999998,7,9,20,253
Mačvanski upravni okrug,10521,5364,398,1100,841.3598999999999,17,14,91,1788
Moravički upravni okrug,7629,3815,279,779,601.4691,12,13,65,2152
Nišavski upravni okrug,12900,6273,495,1487,1086.1308999999999,21,14,109,3476
Pećki upravni okrug,22,10,10,43,19.032,2,2,2,17
Pirotski upravni okrug,2559,1194,110,356,241.2353,8,10,33,745
Podunavski upravni okrug,6226,2992,247,700,555.0072,10,12,67,1507
Pomoravski upravni okrug,7328,3532,284,838,629.1234,15,12,79,1531
Prizrenski upravni okrug,166,77,15,36,29.9817,2,3,5,73
Pčinjski upravni okrug,8388,3974,321,986,686.8958,17,11,63,2538
Rasinski upravni okrug,7897,3900,304,841,661.0047000000001,11,13,70,1992
Raški upravni okrug,13117,6364,509,1435,1096.8782999999999,20,14,91,3423
Severnobanatski upravni okrug,4083,2017,192,618,426.99809999999997,13,11,50,881
Severnobački upravni okrug,6347,3190,276,786,617.3399000000001,10,13,75,1301
Srednjobanatski upravni okrug,5572,2771,223,696,475.3835,10,13,55,1339
Sremski upravni okrug,9183,4494,365,979,741.313,19,13,78,2299
Toplički upravni okrug,3286,1633,134,445,292.0464,8,9,33,923
Zaječarski upravni okrug,3383,1759,137,463,307.7284,8,10,42,745
Zapadnobački upravni okrug,5989,2974,261,778,556.2052000000001,15,13,56,1100
Zlatiborski upravni okrug,10089,4997,388,1145,845.9212,22,15,94,3058
Šumadijski upravni okrug,10470,5233,382,1054,837.0008999999999,15,14,85,3000
